"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","url","categoryName"
"Shell Valley Outfitters","5","7","US-14","Greybull","Wyoming","US","https://shellvalleyoutfitters.com/?utm_source=organic&utm_medium=gmb-listing&utm_id=google","(307) 431-0110","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shell%20Valley%20Outfitters&query_place_id=ChIJ0ZtAZf_HS1MRgNV_wODNyqs","Hunting area"
"Wyoming's Finest Outfitters LLC","4.6","21","187 Early Creek Rd","Ranchester","Wyoming","US","https://wfoutfitter.com/","(307) 751-2297","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wyoming's%20Finest%20Outfitters%20LLC&query_place_id=ChIJx_pQC9sANlMR7i5Rm7HWGeQ","Hunting area"
"Thunder Ridge Outfitters","5","3","2221 Lexington Ave","Casper","Wyoming","US","http://thunderridgeoutfitter.com/","(307) 439-3302","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Thunder%20Ridge%20Outfitters&query_place_id=ChIJQWx9DaC7YIcRaGKGIEIQAaI","Hunting area"
"Lewis Outdoor Adventures","5","82","4398 Rd 28","Basin","Wyoming","US","http://lewisoutdooradventures.com/","(307) 359-1796","Hunting area","Hunting club","Shooting event area",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lewis%20Outdoor%20Adventures&query_place_id=ChIJ95PgRaK8S1MRxeWvifypRv0","Hunting area"
"Devils Tower Outfitters","4.9","68","87 Whitetail Creek Rd","Hulett","Wyoming","US","https://www.devilstoweroutfitters.com/?utm_source=organic&utm_medium=gmb-listing&utm_id=google","(307) 290-2924","Hunting area","Camping cabin","Hunting club","Lodge","Log cabins","Mountain cabin",,,,,,"https://www.google.com/maps/search/?api=1&query=Devils%20Tower%20Outfitters&query_place_id=ChIJy0K_7u4AM1MR8oeE4kDKjjY","Hunting area"
"Bear Track Outfitters","5","13","8885 US-16","Buffalo","Wyoming","US","http://beartrak.com/","(307) 620-0346","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bear%20Track%20Outfitters&query_place_id=ChIJUXjNWrV4NVMRtCYqEmYiIlw","Hunting area"
"Lost Creek Outfitters","5","8","27 Jim Creek Rd","Cody","Wyoming","US","https://lostcreekoutfitters.com/","(307) 527-6251","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lost%20Creek%20Outfitters&query_place_id=ChIJJW3vw2IpTFMR_QuNNFY_RBU","Hunting area"
"Timberline Outfitters","4.3","11","9602 W Milliron Rd","Cheyenne","Wyoming","US","http://www.timberlinehunting.com/","(307) 635-7288","Hunting area","Tour operator",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Timberline%20Outfitters&query_place_id=ChIJmWRFTOk2b4cR5ffiJrh328c","Hunting area"
"Cowboy Country Outfitters of Wyoming BG#291","4.2","15","2351 Lee Ln","Casper","Wyoming","US","http://www.cowboycountryoutfitters.com/","(307) 277-1877","Hunting area","Hunting club",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cowboy%20Country%20Outfitters%20of%20Wyoming%20BG%23291&query_place_id=ChIJGx4bkI-kYIcR6GLeiDnpdPE","Hunting area"
"Open Country Outfitters","5","3","2381 D Rd","Oshoto","Wyoming","US","http://opencountryhunts.com/","(307) 467-5678","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Open%20Country%20Outfitters&query_place_id=ChIJSeNS6sp1M1MRP4vPJzUFfNM","Hunting area"
"Stone River Outfitters","5","113","1 NH-101A Unit 1","Amherst","New Hampshire","US","http://www.stoneriveroutfitters.com/","(603) 472-3191","Fishing store",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Stone%20River%20Outfitters&query_place_id=ChIJfb6v0rRL4okRYd4n66qbNFs","Fishing store"
"Mountain Wanderer (Books, Maps, Gifts and Crafts)","4.9","158","57 Main St #1","Lincoln","New Hampshire","US","http://www.mountainwanderer.com/","(603) 745-2594","Book store",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mountain%20Wanderer%20(Books%2C%20Maps%2C%20Gifts%20and%20Crafts)&query_place_id=ChIJL_yduIiBtEwRpKWa3yRsZWo","Book store"
"Bull Basin Outfitters","5","14","142 Harms Ln","Livingston","Montana","US","http://www.elkfactory.com/","(406) 239-1686","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bull%20Basin%20Outfitters&query_place_id=ChIJP6QDJ4DTXVMRuy3NLLH9SI4","Hunting area"
"J&J Guide Service - Montana Hunting Outfitter","4.5","36","130 State Hwy 323","Ekalaka","Montana","US","http://www.jjguide.com/","(715) 514-8833","Hunting area","Hunting club",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=J%26J%20Guide%20Service%20-%20Montana%20Hunting%20Outfitter&query_place_id=ChIJKxed8vzZMVMRnELCOvGfOQI","Hunting area"
"Montana Trophy Outfitters","5","17","735 MT-359","Cardwell","Montana","US","http://www.mttrophy.com/","(406) 498-5608","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montana%20Trophy%20Outfitters&query_place_id=ChIJCVzoMUfdWlMRjzj9mwM7av8","Hunting area"
"Big sky guides and outfitters of Montana","5","1","5479 Petterson Rd","Wilsall","Montana","US","https://www.bigskyguidesandoutfitters.com/","(507) 251-9433","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Big%20sky%20guides%20and%20outfitters%20of%20Montana&query_place_id=ChIJCaVSpmQbRVMRyB1eSXT7BvA","Hunting area"
"Montana Outwest Outfitters","5","1",,"Darby","Montana","US","http://www.montanaoutwest.com/","(406) 381-2908","Lodge",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montana%20Outwest%20Outfitters&query_place_id=ChIJN5AXJ2E5WVMR9GsH3GEJhKE","Lodge"
"Montana Hunting Outfitters",,,"802 W Geyser St","Livingston","Montana","US","https://www.themontanahuntingoutfitters.com/","(406) 224-2676","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montana%20Hunting%20Outfitters&query_place_id=ChIJ7UvCobN7RVMRxvLNqgJmIUA","Hunting area"
"Walker Outfitting, LLC","5","15","288 Tom Miner Creek Rd","Emigrant","Montana","US","https://www.walkeroutfitting.com/","(406) 223-0104","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Walker%20Outfitting%2C%20LLC&query_place_id=ChIJV_OxIXPgT1MRm7kzm_OiVPk","Hunting area"
"Montana Outfitters","5","1","40 Goon Hill Rd","Sand Coulee","Montana","US","http://www.montanaoutfitters.com/","(406) 799-1004","Hunting area","Hunting and fishing store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montana%20Outfitters&query_place_id=ChIJpx3LGvw1QlMR7ZABAkMz8Jk","Hunting area"
"Double Deuce Outfitters",,,"1438 Reservation Creek Rd","Forsyth","Montana","US","https://www.mtrut.com/contact/","(406) 342-5475","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Double%20Deuce%20Outfitters&query_place_id=ChIJqwnTi-N8N1MRbSRpMFVWEZc","Hunting area"
"Montana West Outfitters","5","8","160 Kent Ln","Hamilton","Montana","US","http://www.montanawestoutfitters.com/","(406) 531-6700","Hunting area","Campground","Hunting and fishing store","Outdoor activity organiser",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montana%20West%20Outfitters&query_place_id=ChIJvS-OMqo2WVMRki_vvDqrbu8","Hunting area"
"Elk Ridge Outfitters","5","5","256 Kister Hardy Rd","Wilsall","Montana","US","https://www.elkridgeoutfitters.com/","(406) 220-2379","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Elk%20Ridge%20Outfitters&query_place_id=ChIJM2HvkG4GRVMRUzhtwAl6U5s","Hunting area"
"Sage Peak Outfitters","4.7","7","2670 Outlaw Dr","Belgrade","Montana","US","http://www.sagepeakhunting.com/","(406) 580-3505","Hunting area","Horseback riding service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sage%20Peak%20Outfitters&query_place_id=ChIJtcyMOD48UFMR7Wmx_zDFxZM","Hunting area"
"Anchor P Outfitters","4","4","3720 US-12","White Sulphur Springs","Montana","US","https://www.anchorpoutfitters.com/","(406) 547-2419","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Anchor%20P%20Outfitters&query_place_id=ChIJ8Z95ETirXFMR3M_z8R0Ke2w","Hunting area"
"Wilderness Studio Guide Service","5","11",,,,,"https://www.scottfullerstudios.com/","(207) 712-8669","Fishing charter","Service establishment",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wilderness%20Studio%20Guide%20Service&query_place_id=ChIJn4oXzjk8gGYR8UyTilqLwgc","Fishing charter"
"Burke Ranch Outfitters","5","3","Larb Hills Rd","Malta","Montana","US","https://www.burkeranchoutfitters.com/","(406) 480-2819","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Burke%20Ranch%20Outfitters&query_place_id=ChIJ6-75mCKaPlMRIaRjGcuZppo","Hunting area"
"Pigeye Outfitters","3","2","6352 Pioneer Rd","Moccasin","Montana","US","http://pigeye.com/","(406) 423-5332","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Pigeye%20Outfitters&query_place_id=ChIJb4D6HSwuQVMR2haIrLNlivY","Hunting club"
"Robin Hollow Outfitters","4.7","9","200 Pheasant Dr","Mapleville","Rhode Island","US","http://www.robinhollow.com/","(401) 568-0331","Gun shop","Gun club","Sporting goods store",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Robin%20Hollow%20Outfitters&query_place_id=ChIJd7I2BPw-5IkRdeby2DoDZqc","Gun shop"
"TLC Outfitters","5","12","22041 SE Licking River Rd","Hueysville","Kentucky","US",,"(606) 496-6966","Hunting area","Hunting preserve",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=TLC%20Outfitters&query_place_id=ChIJ5ZLok4cGRYgR5ifkmNBo5VY","Hunting area"
"Premier Outfitters","4.4","20","2087 Kings Chapel Rd","Cadiz","Kentucky","US","https://premieroutfitters.com/?utm_source=organic&utm_medium=gbp-listing&utm_id=google","(864) 938-8699","Hunting area","Hunting club","Hunting preserve",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Premier%20Outfitters&query_place_id=ChIJBx85swvJeogRflNUitmegDo","Hunting area"
"Whitetail Heaven Outfitters","4.4","590","2047 Hall Rd","Nicholasville","Kentucky","US","https://whitetailheavenoutfitters.com/","(859) 509-2704","Hunting preserve",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Whitetail%20Heaven%20Outfitters&query_place_id=ChIJO12dOkOLQogRC2qeC0Y6jew","Hunting preserve"
"Kentucky Deer Hunting Outfitter","4.7","27","1152 Poplar Grove Rd","Buffalo","Kentucky","US","http://www.huntingkentuckydeer.com/","(270) 766-7166","Hunting club","Hunting preserve",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kentucky%20Deer%20Hunting%20Outfitter&query_place_id=ChIJCxWjfrNjaIgRhRJ-u-RRYD4","Hunting club"
"River Refuge Outfitters L.L.C.","5","9","42 S Kennon Rd","Foster","Kentucky","US","https://www.facebook.com/River-Refuge-Outfitters-106257091795549/","(859) 445-3667","Hunting preserve",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=River%20Refuge%20Outfitters%20L.L.C.&query_place_id=ChIJK38mygV1QYgR2kzdMVZG0LA","Hunting preserve"
"RACKNINE OUTDOORS LLC","4.8","45","9898 KY-505","Cromwell","Kentucky","US","http://rack9outdoors.com/","(678) 326-8877","Hunting area","Outdoor activity organiser",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RACKNINE%20OUTDOORS%20LLC&query_place_id=ChIJQSIra097b4gRDIqBeLm1_bY","Hunting area"
"Whitetail Haven Outfitters","5","4","395 Forest Ln","Springfield","Kentucky","US","http://www.whitetailhavenoutfitters.com/","(502) 349-2700","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Whitetail%20Haven%20Outfitters&query_place_id=ChIJqzQY2-QlaIgR4aSOBfNl6ds","Hunting area"
"Sunrise Outfitters","3.7","15","4875 Oddville-Sunrise Rd","Cynthiana","Kentucky","US","https://sunrisedeerhunt.com/","(574) 340-0911","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sunrise%20Outfitters&query_place_id=ChIJg2UG6DN_QYgREzyyj49HTho","Hunting area"
"Salt River Outfitters","5","7","1049 McDonald Rd","Lawrenceburg","Kentucky","US","http://www.saltriverhunts.com/","(859) 396-8217","Hunting club","Outdoor sports store",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salt%20River%20Outfitters&query_place_id=ChIJT-_neUp4QogRL8c8ZWmO0LA","Hunting club"
"Whiskey River Whitetails","5","2","105 Lawson Ln","Willisburg","Kentucky","US","https://whiskeyriverwhitetails.com/","(859) 805-4020","Hunting area","Sports club",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Whiskey%20River%20Whitetails&query_place_id=ChIJjVQjDQAzaIgRvXn4--fmkGk","Hunting area"
"Buck Country Outfitters","4.7","23","1371 Yeaman Rd","Caneyville","Kentucky","US","https://www.bcohunt.com/","(270) 370-9322","Hunting preserve","Hotel","Hunting area",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Buck%20Country%20Outfitters&query_place_id=ChIJq5fkBJNCb4gRr2bguOb8gQk","Hunting preserve"
"Foggy Hollow Outfitters","5","9","225 Rube Brown Rd","Hustonville","Kentucky","US","https://www.facebook.com/people/Foggy-Hollow-Outfitters/100041555603688/","(606) 282-0672","Hunting store","Lodge",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Foggy%20Hollow%20Outfitters&query_place_id=ChIJgwIWKjjxZ4gRtoqWJ_qKOHM","Hunting store"
"Whitetail Hunting Kentucky","5","37","1066 Chalk Ridge Rd","Vanceburg","Kentucky","US","http://whitetailhuntingkentucky.com/","(276) 451-0395","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Whitetail%20Hunting%20Kentucky&query_place_id=ChIJsZx8wnmtRogRZdDtwPUMyfk","Hunting area"
"7 Bar Outfitters","4.3","6","177 Derrickson Rd","Morehead","Kentucky","US","http://www.sevenbaroutfitters.com/","(606) 356-9416","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=7%20Bar%20Outfitters&query_place_id=ChIJxTunImkJRIgRVoQFsxugykw","Hunting club"
"Straight N' Arrow Outfitters, LLC","4.8","6","2179 Switzer Rd","Frankfort","Kentucky","US",,"(502) 545-0116","Hunting area",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Straight%20N'%20Arrow%20Outfitters%2C%20LLC&query_place_id=ChIJ23hj10YNQogR1Pvj8GXba0A","Hunting area"
"North Fork Outfitters","4.6","8","668 Rigdon Rd","Wallingford","Kentucky","US","http://www.kentuckywhitetailhunting.com/","(606) 375-9721","Hunting club",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=North%20Fork%20Outfitters&query_place_id=ChIJ7yzQBncARIgRbTIYBSGn71g","Hunting club"
"Brushy Creek Outfitters","5","9","1088 Aetna Furnace Rd","Magnolia","Kentucky","US","https://brushycreekoutfitters.com/","(270) 766-8660","Hunting preserve",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Brushy%20Creek%20Outfitters&query_place_id=ChIJC03yW7WPaIgRDbPRHfznvpg","Hunting preserve"
"KY Hunting Preserve","4.7","26","7361 Hardinsburg Rd","Cecilia","Kentucky","US","http://kyhuntingpreserve.com/","(270) 734-0366","Hunting preserve",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KY%20Hunting%20Preserve&query_place_id=ChIJb0OT1rnFaIgRKLJmRuYpr2U","Hunting preserve"
"Safari Outfitters Ltd","4.4","10","2517 US-44","Salt Point","New York","US","http://safarioutfittersltd.com/","(845) 677-5444","Gun shop",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Safari%20Outfitters%20Ltd&query_place_id=ChIJLWl5WQZs3YkRoZX47VQKXY0","Gun shop"
"Walmart Supercenter","4","6147","44 Prospect Hill Rd","East Windsor","Connecticut","US","https://www.walmart.com/store/2282-east-windsor-ct/?veh=seo_loc","(860) 292-1235","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJPbM1NPr75okRfKNTL0ys5ik","Department store"
"Walmart Supercenter","4","6002","141 Washington Ave Ext","Albany","New York","US","https://www.walmart.com/store/2152-albany-ny/?veh=seo_loc","(518) 869-4694","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJ3-fKOsp03okRVk9Daa6xeRA","Department store"
"Walmart Supercenter","3.8","1733","210 Northside Dr","Bennington","Vermont","US","https://www.walmart.com/store/2289-bennington-vt/?veh=seo_loc","(802) 447-1614","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJj9398O2W4IkRFyCsJn2L3Ps","Department store"
"Walmart Supercenter","3.7","2763","15 Tibbetts Dr","Brunswick","Maine","US","https://www.walmart.com/store/1939-brunswick-me/?veh=seo_loc","(207) 725-0773","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJud6vlfKGrUwRYoLEZLJmaRk","Department store"
"Walmart Supercenter","3.9","5206","800 Loudon Rd","Latham","New York","US","https://www.walmart.com/store/1997-latham-ny/?veh=seo_loc","(518) 783-4086","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJx7h2GcYN3okRJnLT0IpvIh8","Department store"
"Walmart Supercenter","3.8","5374","500 Gallery Blvd","Scarborough","Maine","US","https://www.walmart.com/store/1788-scarborough-me/?veh=seo_loc","(207) 885-5567","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJS-mXMRuZskwRIwis0wld-ms","Department store"
"Walmart Supercenter","4","4214","506 State Rd","North Dartmouth","Massachusetts","US","https://www.walmart.com/store/2157-north-dartmouth-ma/?veh=seo_loc","(508) 984-7771","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJX1Jl6Vrj5IkROWj3PKFk6so","Department store"
"Walmart Supercenter","3.8","4225","1549 US-9","Clifton Park","New York","US","https://www.walmart.com/store/2844-clifton-park-ny/?veh=seo_loc","(518) 373-8457","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJFRbkhv0T3okRypD8DBtLSq4","Department store"
"Walmart Supercenter","4.1","1872","1415 Curran Memorial Hwy","North Adams","Massachusetts","US","https://www.walmart.com/store/1984-north-adams-ma/?veh=seo_loc","(413) 664-4004","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJHa07meq34IkRZhDNgqgqvRU","Department store"
"Walmart Supercenter","3.8","4401","200 Dutch Meadows Ln","Glenville","New York","US","https://www.walmart.com/store/2874-glenville-ny/?veh=seo_loc","(518) 344-7035","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJn864pH1u3okR676Kc7_A-P0","Department store"
"Walmart Supercenter","4","4980","161 Berlin Rd","Cromwell","Connecticut","US","https://www.walmart.com/store/2299-cromwell-ct/?veh=seo_loc","(860) 635-0458","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJw3vx97S054kRUmt9BA85qmw","Department store"
"Walmart Supercenter","3.9","3614","155 Parkway N","Waterford","Connecticut","US","https://www.walmart.com/store/2331-waterford-ct/?veh=seo_loc","(860) 447-3646","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJNzcw1O8R5okRqFKXRwLq94A","Department store"
"Walmart Supercenter","3.8","4446","344 Loudon Rd","Concord","New Hampshire","US","https://www.walmart.com/store/2055-concord-nh/?veh=seo_loc","(603) 226-9312","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJ5wYWB9lr4okRiA44SpqrkeA","Department store"
"Walmart Supercenter","3.8","3244","50 Boulder Wy","Biddeford","Maine","US","https://www.walmart.com/store/2153-biddeford-me/?veh=seo_loc","(207) 286-9551","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJFxlZVWmlskwREKOzhUouY04","Department store"
"Walmart Supercenter","3.8","2003","683 Tenney Mountain Hwy","Plymouth","New Hampshire","US","https://www.walmart.com/store/2758-plymouth-nh/?veh=seo_loc","(603) 536-5352","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJPeHULoVes0wRlzK8ipg_MEc","Department store"
"Walmart Supercenter","3.9","3175","760 Hoosick Rd","Troy","New York","US","https://www.walmart.com/store/2370-troy-ny/?veh=seo_loc","(518) 279-0685","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJ55INakMF3okRwIYWbgiifaE","Department store"
"Walmart Supercenter","4","3292","300 Colony Pl","Plymouth","Massachusetts","US","https://www.walmart.com/store/2336-plymouth-ma/?veh=seo_loc","(508) 830-9555","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJYR4d94G85IkRpWiZnIXxqbQ","Department store"
"Walmart Supercenter","4","4741","36 Paramount Dr","Raynham","Massachusetts","US","https://www.walmart.com/store/2021-raynham-ma/?veh=seo_loc","(508) 822-4900","Department store","Bakery","Clothing store","Electronics store","Furniture store","Grocery store","Hardware store","Home goods store","Sporting goods store","Toy store",,"https://www.google.com/maps/search/?api=1&query=Walmart%20Supercenter&query_place_id=ChIJ9Z-m-DuN5IkR31QOYLHiSTg","Department store"
